RL;PREMIER_ROMAN;EAN;titre;auteur;TYPES;GENRE;Editeur;PAYS;latitude;longitude;CONTINENT;Traduit de;Traduit par;Date de parution;MOIS;ANNEE_PUBLICATION;url;categorie;prix_gf;prix_ebook;couverture;caracteristiques;ISBN;Format;Présentation;Nb. de pages;Poids;Dimensions;Collection
RL;NON;9782492270895.0;Malentendues- Grand Format;Azza Filali;Romans français;F;Elyzad;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-10-06;October;2023.0;https://www.decitre.fr/livres/malentendues-9782492270895.html;['Livres', 'Littérature', 'Romans'];22,00 €;pas de prix ebook;https://products-images.di-static.com/image/azza-filali-ouatann/9789973580849-200x303-1.webp 1x,https://products-images.di-static.com/image/azza-filali-ouatann/9789973580849-200x303-2.webp 2x;Date de parution|06/10/2023|Editeur|Elyzad|ISBN|978-2-492270-89-5|EAN|9782492270895|Format|Grand Format|Présentation|Broché|Nb. de pages|344 pages|Dimensions|12,0 cm × 20,5 cm × 0,0 cm;978-2-492270-89-5;Grand Format;Broché;344 pages;NC;12,0 cm × 20,5 cm × 0,0 cm;
RL;NON;9782379271854.0;Contes de guerre- Grand Format;Akiyuki Nosaka;Romans étrangers;M;Atelier Akatombo;JAPON;-4.1242542;-70.4949137;ASIA;JAPONAIS;Jacques Lalloz;2023-10-06;October;2023.0;https://www.decitre.fr/livres/contes-de-guerre-9782379271854.html;['Livres', 'Littérature', 'Romans'];15,00 €;12,99 €;https://products-images.di-static.com/image/akiyuki-nosaka-la-tombe-des-lucioles/9782809710564-200x303-1.webp 1x;Date de parution|06/10/2023|Editeur|Atelier Akatombo|ISBN|978-2-37927-185-4|EAN|9782379271854|Format|Grand Format|Présentation|Broché|Nb. de pages|120 pages;978-2-37927-185-4;Grand Format;Broché;120 pages;0.42 Kg;15,6 cm × 21,5 cm × 1,5 cm;
;NAN;9782315010813.0;Ma vie au 36, quai des orfèvres- Grand Format;Nora Lakheal;;;Max Milo;NAN;46.3144754;11.0480288;NAN;;;2023-10-10;October;2023.0;https://www.decitre.fr/livres/ma-vie-au-36-quai-des-orfevres-9782315010813.html;['Livres', 'Littérature', 'Romans'];21,90 €;pas de prix ebook;https://products-images.di-static.com/image/nora-lakheal-ma-vie-au-36-quai-des-orfevres/9782315010813-475x500-1.webp 1x;Date de parution|10/10/2023|Editeur|Max Milo|ISBN|978-2-315-01081-3|EAN|9782315010813|Format|Grand Format|Présentation|Broché|Dimensions|52,5 cm × 52,5 cm × 0,0 cm;978-2-315-01081-3;Grand Format;Broché;;;52,5 cm × 52,5 cm × 0,0 cm;
;NAN;9782719111246.0;Thaïlande- Grand Format;Valentina Facci;;;Vilo;NAN;46.3144754;11.0480288;NAN;;;2023-10-10;October;2023.0;https://www.decitre.fr/livres/thailande-9782719111246.html;['Livres', 'Littérature', 'Romans'];41,00 €;pas de prix ebook;https://products-images.di-static.com/image/ester-tome-grece/9782719111192-200x303-1.webp 1x,https://products-images.di-static.com/image/ester-tome-grece/9782719111192-200x303-2.webp 2x;Date de parution|10/10/2023|Editeur|Vilo|ISBN|978-2-7191-1124-6|EAN|9782719111246|Format|Grand Format|Présentation|Broché|Nb. de pages|200 pages|Poids|0.001 Kg|Dimensions|3,2 cm × 2,8 cm × 2,0 cm;978-2-7191-1124-6;Grand Format;Broché;200 pages;0.001 Kg;3,2 cm × 2,8 cm × 2,0 cm;
;NAN;9782755664393.0;La saga d'Auren Tome 4- Grand Format;Raven Kennedy;;;Hugo Roman;NAN;46.3144754;11.0480288;NAN;;;2023-10-11;October;2023.0;https://www.decitre.fr/livres/la-saga-d-auren-tome-4-glow-9782755664393.html;['Livres', 'Littérature', 'Romans'];19,95 €;12,99 €;https://products-images.di-static.com/image/raven-kennedy-la-saga-d-auren-tome-4-glow/9782755664393-475x500-1.webp 1x,https://products-images.di-static.com/image/raven-kennedy-la-saga-d-auren-tome-4-glow/9782755664393-475x500-2.webp 2x;Date de parution|11/10/2023|Editeur|Hugo Roman|Collection|New Romance|ISBN|978-2-7556-6439-3|EAN|9782755664393|Format|Grand Format|Présentation|Broché|Nb. de pages|336 pages|Dimensions|14,5 cm × 22,5 cm × 0,0 cm;978-2-7556-6439-3;Grand Format;Broché;336 pages;;14,5 cm × 22,5 cm × 0,0 cm;New Romance
;NAN;9782755669091.0;Bad girl reputation- Grand Format;Elle Kennedy;;;Hugo Roman;NAN;46.3144754;11.0480288;NAN;;;2023-10-11;October;2023.0;https://www.decitre.fr/livres/bad-girl-reputation-9782755669091.html;['Livres', 'Littérature', 'Romans'];17,00 €;9,99 €;https://products-images.di-static.com/image/elle-kennedy-bad-girl-reputation/9782755669091-475x500-1.webp 1x,https://products-images.di-static.com/image/elle-kennedy-bad-girl-reputation/9782755669091-475x500-2.webp 2x;Date de parution|11/10/2023|Editeur|Hugo Roman|Collection|New Romance|ISBN|978-2-7556-6909-1|EAN|9782755669091|Format|Grand Format|Présentation|Broché|Nb. de pages|256 pages|Dimensions|13,0 cm × 20,5 cm × 0,0 cm;978-2-7556-6909-1;Grand Format;Broché;256 pages;;13,0 cm × 20,5 cm × 0,0 cm;New Romance
;NAN;9782080420701.0;Demain dès l'aube- Grand Format;Caroline de Bodinat;;;Flammarion;NAN;46.3144754;11.0480288;NAN;;;2023-10-11;October;2023.0;https://www.decitre.fr/livres/demain-des-l-aube-9782080420701.html;['Livres', 'Littérature', 'Romans'];22,00 €;pas de prix ebook;https://products-images.di-static.com/image/caroline-de-bodinat-demain-des-l-aube/9782080420701-475x500-1.webp 1x;Date de parution|11/10/2023|Editeur|Flammarion|Collection|Documents, temoignages|ISBN|978-2-08-042070-1|EAN|9782080420701|Format|Grand Format|Présentation|Broché|Nb. de pages|300 pages|Poids|0.001 Kg|Dimensions|13,5 cm × 21,0 cm × 0,0 cm;978-2-08-042070-1;Grand Format;Broché;300 pages;0.001 Kg;13,5 cm × 21,0 cm × 0,0 cm;Documents, temoignages
;NAN;9782863748879.0;Carmen Ricci, le mystère révélé- Grand Format;Johanna Dijkstra;;;Mazarine (Editions);NAN;46.3144754;11.0480288;NAN;;;2023-10-11;October;2023.0;https://www.decitre.fr/livres/carmen-ricci-le-mystere-revele-9782863748879.html;['Livres', 'Littérature', 'Romans'];20,00 €;pas de prix ebook;https://products-images.di-static.com/image/johanna-dijkstra-carmen-ricci-le-mystere-revele/9782863748879-475x500-1.webp 1x,https://products-images.di-static.com/image/johanna-dijkstra-carmen-ricci-le-mystere-revele/9782863748879-475x500-2.webp 2x;Date de parution|11/10/2023|Editeur|Mazarine (Editions)|ISBN|978-2-86374-887-9|EAN|9782863748879|Format|Grand Format|Présentation|Broché|Nb. de pages|250 pages|Dimensions|13,5 cm × 21,5 cm × 0,0 cm;978-2-86374-887-9;Grand Format;Broché;250 pages;;13,5 cm × 21,5 cm × 0,0 cm;
;NAN;9782246825647.0;Sur le chemin des oiseaux- Grand Format;Elise Rousseau;;;Grasset;NAN;46.3144754;11.0480288;NAN;;;2023-10-11;October;2023.0;https://www.decitre.fr/livres/sur-le-chemin-des-oiseaux-9782246825647.html;['Livres', 'Littérature', 'Romans'];17,00 €;pas de prix ebook;https://products-images.di-static.com/image/philippe-jacques-dubois-petite-philosophie-des-oiseaux/9782732482804-200x303-1.webp 1x,https://products-images.di-static.com/image/philippe-jacques-dubois-petite-philosophie-des-oiseaux/9782732482804-200x303-2.webp 2x;Date de parution|11/10/2023|Editeur|Grasset|ISBN|978-2-246-82564-7|EAN|9782246825647|Format|Grand Format|Présentation|Broché|Nb. de pages|150 pages|Dimensions|13,0 cm × 20,5 cm × 0,0 cm;978-2-246-82564-7;Grand Format;Broché;150 pages;;13,0 cm × 20,5 cm × 0,0 cm;
;NAN;9782378153120.0;Ma vie d'avocat rock'n'roll- Grand Format;Jacques Verrecchia;;;Talent sport;NAN;46.3144754;11.0480288;NAN;;;2023-10-11;October;2023.0;https://www.decitre.fr/livres/ma-vie-d-avocat-rock-n-roll-9782378153120.html;['Livres', 'Littérature', 'Romans'];19,90 €;pas de prix ebook;https://products-images.di-static.com/image/cedric-sapin-defour-son-odeur-apres-la-pluie/9782234093966-200x303-1.webp 1x,https://products-images.di-static.com/image/cedric-sapin-defour-son-odeur-apres-la-pluie/9782234093966-200x303-2.webp 2x;Date de parution|11/10/2023|Editeur|Talent sport|ISBN|978-2-37815-312-0|EAN|9782378153120|Format|Grand Format|Présentation|Broché;978-2-37815-312-0;Grand Format;Broché;;;;
;NAN;9791032900680.0;La lumière du chaos- Grand Format;Matthieu Pigasse;;;Observatoire (Editions de l');NAN;46.3144754;11.0480288;NAN;;;2023-10-11;October;2023.0;https://www.decitre.fr/livres/la-lumiere-du-chaos-9791032900680.html;['Livres', 'Littérature', 'Romans'];21,00 €;pas de prix ebook;https://products-images.di-static.com/image/matthieu-pigasse-eloge-de-l-anormalite/9782081347304-200x303-1.webp 1x,https://products-images.di-static.com/image/matthieu-pigasse-eloge-de-l-anormalite/9782081347304-200x303-2.webp 2x;Date de parution|11/10/2023|Editeur|Observatoire (Editions de l')|ISBN|979-10-329-0068-0|EAN|9791032900680|Format|Grand Format|Présentation|Broché;979-10-329-0068-0;Grand Format;Broché;;;;
;NAN;9782374485065.0;La dernière nuit de Pompéi- Grand Format;Gilbert Bordes;;;XO;NAN;46.3144754;11.0480288;NAN;;;2023-10-12;October;2023.0;https://www.decitre.fr/livres/la-derniere-nuit-de-pompei-9782374485065.html;['Livres', 'Littérature', 'Romans'];20,90 €;13,99 €;https://products-images.di-static.com/image/gilbert-bordes-la-derniere-nuit-de-pompei/9782374485072-70x95-1.webp 1x,https://products-images.di-static.com/image/gilbert-bordes-la-derniere-nuit-de-pompei/9782374485072-70x95-2.webp 2x;Date de parution|12/10/2023|Editeur|XO|ISBN|978-2-37448-506-5|EAN|9782374485065|Format|Grand Format|Présentation|Broché;978-2-37448-506-5;Grand Format;Broché;;;;
;NAN;9782494707122.0;Don't let me down- Grand Format;Sarah West;;;Happily Ever After;NAN;46.3144754;11.0480288;NAN;;;2023-10-13;October;2023.0;https://www.decitre.fr/livres/don-t-let-me-down-9782494707122.html;['Livres', 'Littérature', 'Romans'];19,90 €;pas de prix ebook;https://products-images.di-static.com/image/sarah-west-don-t-let-me-down/9782494707122-475x500-1.webp 1x;Date de parution|13/10/2023|Editeur|Happily Ever After|ISBN|978-2-494707-12-2|EAN|9782494707122|Format|Grand Format|Présentation|Broché|Poids|0.4 Kg|Dimensions|14,0 cm × 21,0 cm × 2,6 cm;978-2-494707-12-2;Grand Format;Broché;;0.4 Kg;14,0 cm × 21,0 cm × 2,6 cm;
;NAN;9782875232120.0;Vagabond de la beauté- Grand Format;Everett Ruess;;;Nevicata;NAN;46.3144754;11.0480288;NAN;;;2023-10-13;October;2023.0;https://www.decitre.fr/livres/vagabond-de-la-beaute-9782875232120.html;['Livres', 'Littérature', 'Romans'];23,00 €;pas de prix ebook;https://products-images.di-static.com/image/everett-ruess-vagabond-de-la-beaute/9782875232120-475x500-1.webp 1x,https://products-images.di-static.com/image/everett-ruess-vagabond-de-la-beaute/9782875232120-475x500-2.webp 2x;Date de parution|13/10/2023|Editeur|Nevicata|ISBN|978-2-87523-212-0|EAN|9782875232120|Format|Grand Format|Présentation|Broché|Poids|0.38 Kg;978-2-87523-212-0;Grand Format;Broché;;0.38 Kg;;
;NAN;9782380823073.0;Le Siècle des chimères Tome 3- Grand Format;Philippe Cavalier;;;Anne Carrière;NAN;46.3144754;11.0480288;NAN;;;2023-10-13;October;2023.0;https://www.decitre.fr/livres/le-siecle-des-chimeres-tome-3-les-anges-de-palerme-9782380823073.html;['Livres', 'Littérature', 'Romans'];18,00 €;pas de prix ebook;https://products-images.di-static.com/image/philippe-cavalier-le-siecle-des-chimeres-tome-3-les-anges-de-palerme/9782380823073-475x500-1.webp 1x;Date de parution|13/10/2023|Editeur|Anne Carrière|Collection|La bibliothèque Philippe Caval|ISBN|978-2-38082-307-3|EAN|9782380823073|Format|Grand Format|Présentation|Broché|Nb. de pages|432 pages;978-2-38082-307-3;Grand Format;Broché;432 pages;;;La bibliothèque Philippe Caval
;NAN;9782380823080.0;Le Siècle des chimères Tome 4- Grand Format;Philippe Cavalier;;;Anne Carrière;NAN;46.3144754;11.0480288;NAN;;;2023-10-13;October;2023.0;https://www.decitre.fr/livres/le-siecle-des-chimeres-tome-4-la-dame-de-toscane-9782380823080.html;['Livres', 'Littérature', 'Romans'];19,00 €;pas de prix ebook;https://products-images.di-static.com/image/philippe-cavalier-le-siecle-des-chimeres-tome-4-la-dame-de-toscane/9782380823080-475x500-1.webp 1x;Date de parution|13/10/2023|Editeur|Anne Carrière|Collection|La bibliothèque Philippe Caval|ISBN|978-2-38082-308-0|EAN|9782380823080|Format|Grand Format|Présentation|Broché|Nb. de pages|640 pages;978-2-38082-308-0;Grand Format;Broché;640 pages;;;La bibliothèque Philippe Caval
;NAN;9782757894224.0;Les chiens de faïence- Grand Format;Thomas Louis;;;Points;NAN;46.3144754;11.0480288;NAN;;;2023-10-13;October;2023.0;https://www.decitre.fr/livres/les-chiens-de-faience-9782757894224.html;['Livres', 'Littérature', 'Romans'];8,30 €;pas de prix ebook;https://products-images.di-static.com/image/pollen-litteral-pl2d-l-autoroute-de-sable-n-3-avril-2022-gros-bisous/9782957795321-200x303-1.webp 1x,https://products-images.di-static.com/image/pollen-litteral-pl2d-l-autoroute-de-sable-n-3-avril-2022-gros-bisous/9782957795321-200x303-2.webp 2x;Date de parution|13/10/2023|Editeur|Points|Collection|Points|ISBN|978-2-7578-9422-4|EAN|9782757894224|Format|Grand Format|Présentation|Broché|Nb. de pages|216 pages|Dimensions|0,1 cm × 0,1 cm × 0,1 cm;978-2-7578-9422-4;Grand Format;Broché;216 pages;;0,1 cm × 0,1 cm × 0,1 cm;Points
;NAN;9782491462734.0;L'Oeil- Grand Format;André Doms;;;L'herbe qui tremble;NAN;46.3144754;11.0480288;NAN;;;2023-10-15;October;2023.0;https://www.decitre.fr/livres/l-oeil-9782491462734.html;['Livres', 'Littérature', 'Romans'];18,00 €;pas de prix ebook;https://products-images.di-static.com/image/andre-doms-l-oeil/9782491462734-45x70-1.webp 1x,https://products-images.di-static.com/image/andre-doms-l-oeil/9782491462734-45x70-2.webp 2x;Date de parution|15/10/2023|Editeur|L'herbe qui tremble|Collection|Trait d'union|ISBN|978-2-491462-73-4|EAN|9782491462734|Format|Grand Format|Présentation|Broché|Nb. de pages|156 pages|Poids|0.2 Kg|Dimensions|16,5 cm × 21,0 cm × 0,9 cm;978-2-491462-73-4;Grand Format;Broché;156 pages;0.2 Kg;16,5 cm × 21,0 cm × 0,9 cm;Trait d'union
;NAN;9782892394382.0;Estebanico  - Un destin hors du commun- Grand Format;Philippe Frey;;;Louise Courteau;NAN;46.3144754;11.0480288;NAN;;;2023-10-16;October;2023.0;https://www.decitre.fr/livres/estebanico-9782892394382.html;['Livres', 'Littérature', 'Romans'];29,90 €;pas de prix ebook;https://products-images.di-static.com/image/philippe-frey-estebanico/9782892394382-475x500-1.webp 1x,https://products-images.di-static.com/image/philippe-frey-estebanico/9782892394382-475x500-2.webp 2x;Date de parution|16/10/2023|Editeur|Louise Courteau|ISBN|978-2-89239-438-2|EAN|9782892394382|Format|Grand Format|Présentation|Broché|Nb. de pages|540 pages|Dimensions|15,6 cm × 23,4 cm × 0,0 cm;978-2-89239-438-2;Grand Format;Broché;540 pages;;15,6 cm × 23,4 cm × 0,0 cm;
;NAN;9791095118268.0;La maison sans toit- Grand Format;Hélène Gestern;;;Light Motiv;NAN;46.3144754;11.0480288;NAN;;;2023-10-17;October;2023.0;https://www.decitre.fr/livres/la-maison-sans-toit-9791095118268.html;['Livres', 'Littérature', 'Romans'];26,00 €;pas de prix ebook;https://products-images.di-static.com/image/helene-gestern-555/9782958214524-200x303-1.webp 1x,https://products-images.di-static.com/image/helene-gestern-555/9782958214524-200x303-2.webp 2x;Date de parution|17/10/2023|Editeur|Light Motiv|Collection|Singulières|ISBN|979-10-95118-26-8|EAN|9791095118268|Format|Grand Format|Présentation|Broché|Nb. de pages|96 pages|Poids|0.6 Kg|Dimensions|14,5 cm × 21,0 cm × 1,0 cm;979-10-95118-26-8;Grand Format;Broché;96 pages;0.6 Kg;14,5 cm × 21,0 cm × 1,0 cm;Singulières
RL;PREMIER ROMAN;9782378040628.0;La Boue- Grand Format;Christos Armando Gezos;Romans étrangers;M;MF éditions;GRECE;38.9953683;21.9877132;EUROPE;GREC;Clara Nizzoli;2023-10-17;October;2023.0;https://www.decitre.fr/livres/la-boue-9782378040628.html;['Livres', 'Littérature', 'Romans'];18,00 €;pas de prix ebook;https://products-images.di-static.com/image/milan-kundera-l-insoutenable-legerete-de-l-etre/9782072892653-200x303-1.webp 1x,https://products-images.di-static.com/image/milan-kundera-l-insoutenable-legerete-de-l-etre/9782072892653-200x303-2.webp 2x;Date de parution|17/10/2023|Editeur|MF éditions|Collection|Inventions|ISBN|978-2-37804-062-8|EAN|9782378040628|Format|Grand Format|Présentation|Broché|Nb. de pages|216 pages|Poids|0.218 Kg|Dimensions|12,0 cm × 21,0 cm × 1,3 cm;978-2-37804-062-8;Grand Format;Broché;216 pages;0.218 Kg;12,0 cm × 21,0 cm × 1,3 cm;Inventions
;NAN;9782381223438.0;L'intégrale illustrée- Grand Format;Jane Austen;;;Hauteville Editions;NAN;46.3144754;11.0480288;NAN;;;2023-10-18;October;2023.0;https://www.decitre.fr/livres/l-integrale-illustree-9782381223438.html;['Livres', 'Littérature', 'Romans'];70,00 €;pas de prix ebook;https://products-images.di-static.com/image/jane-austen-l-integrale-illustree/9782381223438-475x500-1.webp 1x,https://products-images.di-static.com/image/jane-austen-l-integrale-illustree/9782381223438-475x500-2.webp 2x;Date de parution|18/10/2023|Editeur|Hauteville Editions|ISBN|978-2-38122-343-8|EAN|9782381223438|Format|Grand Format|Présentation|Relié|Nb. de pages|1104 pages;978-2-38122-343-8;Grand Format;Relié;1104 pages;;;
;NAN;9782493872067.0;L'angélus des ogres- Grand Format;Laurent Pépin;;;Fables fertiles;NAN;46.3144754;11.0480288;NAN;;;2023-10-19;October;2023.0;https://www.decitre.fr/livres/l-angelus-des-ogres-9782493872067.html;['Livres', 'Littérature', 'Romans'];17,50 €;pas de prix ebook;https://products-images.di-static.com/image/laurent-pepin-l-angelus-des-ogres/9782493872067-475x500-1.webp 1x,https://products-images.di-static.com/image/laurent-pepin-l-angelus-des-ogres/9782493872067-475x500-2.webp 2x;Date de parution|19/10/2023|Editeur|Fables fertiles|Collection|L'heure des contes|ISBN|978-2-493872-06-7|EAN|9782493872067|Format|Grand Format|Présentation|Broché|Nb. de pages|106 pages|Poids|0.144 Kg|Dimensions|14,8 cm × 21,0 cm × 0,8 cm;978-2-493872-06-7;Grand Format;Broché;106 pages;0.144 Kg;14,8 cm × 21,0 cm × 0,8 cm;L'heure des contes
;NAN;9782385770297.0;Heureux les fêlés car ils laissent passer la lumière- Grand Format;Raphaëlle Giordano;;;Editions Récamier;NAN;46.3144754;11.0480288;NAN;;;2023-10-19;October;2023.0;https://www.decitre.fr/livres/heureux-les-feles-car-ils-laissent-passer-la-lumiere-9782385770297.html;['Livres', 'Littérature', 'Romans'];20,90 €;8,99 €;https://products-images.di-static.com/image/raphaelle-giordano-heureux-les-feles-car-ils-laissent-passer-la-lumiere/9782385770297-475x500-1.webp 1x;Date de parution|19/10/2023|Editeur|Editions Récamier|ISBN|978-2-38577-029-7|EAN|9782385770297|Format|Grand Format|Présentation|Broché|Nb. de pages|336 pages;978-2-38577-029-7;Grand Format;Broché;336 pages;;;
;NAN;9782283037515.0;Le chant des vaincus- Grand Format;Tarun Tejpal;;;Buchet-Chastel;NAN;46.3144754;11.0480288;NAN;;;2023-10-19;October;2023.0;https://www.decitre.fr/livres/le-chant-des-vaincus-9782283037515.html;['Livres', 'Littérature', 'Romans'];27,50 €;pas de prix ebook;https://products-images.di-static.com/image/tarun-tejpal-loin-de-chandigarh/9782253118015-200x303-1.webp 1x,https://products-images.di-static.com/image/tarun-tejpal-loin-de-chandigarh/9782253118015-200x303-2.webp 2x;Date de parution|19/10/2023|Editeur|Buchet-Chastel|ISBN|978-2-283-03751-5|EAN|9782283037515|Format|Grand Format|Présentation|Broché|Nb. de pages|768 pages;978-2-283-03751-5;Grand Format;Broché;768 pages;;;
;NAN;9782373056990.0;Soif de sang- Grand Format;Rivers Solomon;;;Aux Forges de Vulcain;NAN;46.3144754;11.0480288;NAN;;;2023-10-20;October;2023.0;https://www.decitre.fr/livres/soif-de-sang-9782373056990.html;['Livres', 'Littérature', 'Romans'];15,00 €;pas de prix ebook;https://products-images.di-static.com/image/rivers-solomon-sorrowland/9782373056358-200x303-1.webp 1x,https://products-images.di-static.com/image/rivers-solomon-sorrowland/9782373056358-200x303-2.webp 2x;Date de parution|20/10/2023|Editeur|Aux Forges de Vulcain|ISBN|978-2-37305-699-0|EAN|9782373056990|Format|Grand Format|Présentation|Broché;978-2-37305-699-0;Grand Format;Broché;;;;
;NAN;9782812203954.0;Fuyu iro- Grand Format;Philippe Ricordel;;;Ramsay;NAN;46.3144754;11.0480288;NAN;;;2023-10-24;October;2023.0;https://www.decitre.fr/livres/fuyu-iro-9782812203954.html;['Livres', 'Littérature', 'Romans'];41,00 €;pas de prix ebook;https://products-images.di-static.com/image/philippe-ricordel-fuyu-iro/9782812203954-475x500-1.webp 1x,https://products-images.di-static.com/image/philippe-ricordel-fuyu-iro/9782812203954-475x500-2.webp 2x;Date de parution|24/10/2023|Editeur|Ramsay|ISBN|978-2-8122-0395-4|EAN|9782812203954|Format|Grand Format|Présentation|Broché|Nb. de pages|200 pages|Poids|0.001 Kg|Dimensions|3,2 cm × 2,8 cm × 2,0 cm;978-2-8122-0395-4;Grand Format;Broché;200 pages;0.001 Kg;3,2 cm × 2,8 cm × 2,0 cm;
;NAN;9782374485737.0;Le templier de l'ombre  - Tome 2- Grand Format;Mireille Calmel;;;XO;NAN;46.3144754;11.0480288;NAN;;;2023-10-26;October;2023.0;https://www.decitre.fr/livres/le-templier-de-l-ombre-9782374485737.html;['Livres', 'Littérature', 'Romans'];20,90 €;pas de prix ebook;https://products-images.di-static.com/image/mireille-calmel-le-templier-de-l-ombre/9782374485027-200x303-1.webp 1x,https://products-images.di-static.com/image/mireille-calmel-le-templier-de-l-ombre/9782374485027-200x303-2.webp 2x;Date de parution|26/10/2023|Editeur|XO|ISBN|978-2-37448-573-7|EAN|9782374485737|Format|Grand Format|Présentation|Broché;978-2-37448-573-7;Grand Format;Broché;;;;
;NAN;9782072906381.0;Ravages- Grand Format;Violette Leduc;;;Gallimard;NAN;46.3144754;11.0480288;NAN;;;2023-10-26;October;2023.0;https://www.decitre.fr/livres/ravages-9782072906381.html;['Livres', 'Littérature', 'Romans'];10,00 €;pas de prix ebook;https://products-images.di-static.com/image/violette-leduc-therese-et-isabelle/9782070454334-200x303-1.webp 1x,https://products-images.di-static.com/image/violette-leduc-therese-et-isabelle/9782070454334-200x303-2.webp 2x;Date de parution|26/10/2023|Editeur|Gallimard|Collection|L'Imaginaire|ISBN|978-2-07-290638-1|EAN|9782072906381|Format|Grand Format|Présentation|Broché|Poids|0.001 Kg;978-2-07-290638-1;Grand Format;Broché;;0.001 Kg;;L'Imaginaire
;NAN;9782381511436.0;Nos ames en perdition- Grand Format;Elle Catt;;;Plumes du Web;NAN;46.3144754;11.0480288;NAN;;;2023-10-27;October;2023.0;https://www.decitre.fr/livres/nos-ames-en-perdition-9782381511436.html;['Livres', 'Littérature', 'Romans'];18,90 €;5,99 €;https://products-images.di-static.com/image/elle-catt-nos-ames-en-perdition/9782381511436-475x500-1.webp 1x,https://products-images.di-static.com/image/elle-catt-nos-ames-en-perdition/9782381511436-475x500-2.webp 2x;Date de parution|27/10/2023|Editeur|Plumes du Web|Collection|Opale|ISBN|978-2-38151-143-6|EAN|9782381511436|Format|Grand Format|Présentation|Broché|Dimensions|14,8 cm × 21,0 cm × 0,0 cm;978-2-38151-143-6;Grand Format;Broché;;;14,8 cm × 21,0 cm × 0,0 cm;Opale
RL;PREMIER ROMAN;9791091301831.0;Le chameau ne voit pas sa bosse- Grand Format;Sandra Arditti;Romans français;F;Auteurs du monde;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-10-27;October;2023.0;https://www.decitre.fr/livres/le-chameau-ne-voit-pas-sa-bosse-9791091301831.html;['Livres', 'Littérature', 'Romans'];17,00 €;pas de prix ebook;https://products-images.di-static.com/image/sandra-arditti-le-chameau-ne-voit-pas-sa-bosse/9791091301831-475x500-1.webp 1x;Date de parution|27/10/2023|Editeur|Auteurs du monde|ISBN|979-10-91301-83-1|EAN|9791091301831|Format|Grand Format|Présentation|Broché|Nb. de pages|280 pages|Dimensions|14,8 cm × 21,0 cm × 1,9 cm;979-10-91301-83-1;Grand Format;Broché;280 pages;0.38 Kg;14,8 cm × 21,0 cm × 1,9 cm;
;NAN;9782494707115.0;A jamais- Grand Format;Belle Aurora;;;Happily Ever After;NAN;46.3144754;11.0480288;NAN;;;2023-10-27;October;2023.0;https://www.decitre.fr/livres/a-jamais-9782494707115.html;['Livres', 'Littérature', 'Romans'];19,90 €;pas de prix ebook;https://products-images.di-static.com/image/belle-aurora-a-jamais/9782494707115-475x500-1.webp 1x;Date de parution|27/10/2023|Editeur|Happily Ever After|ISBN|978-2-494707-11-5|EAN|9782494707115|Format|Grand Format|Présentation|Broché|Dimensions|14,0 cm × 21,0 cm × 2,6 cm;978-2-494707-11-5;Grand Format;Broché;;;14,0 cm × 21,0 cm × 2,6 cm;
;NAN;9782377473403.0;Du Goupil nommé Reynaert - Van den vos Reynaerde  - Réécriture du Roman de Renart, joyau de la littérature néerlandaise- Grand Format;René Pérennec;;;UGA Editions;NAN;46.3144754;11.0480288;NAN;;;2023-11-02;November;2023.0;https://www.decitre.fr/livres/du-goupil-nomme-reynaert-van-den-vos-reynaerde-9782377473403.html;['Livres', 'Littérature', 'Romans'];25,00 €;pas de prix ebook;https://products-images.di-static.com/image/rene-perennec-du-goupil-nomme-reynaert-van-den-vos-reynaerde/9782377473403-475x500-1.webp 1x,https://products-images.di-static.com/image/rene-perennec-du-goupil-nomme-reynaert-van-den-vos-reynaerde/9782377473403-475x500-2.webp 2x;Date de parution|02/11/2023|Editeur|UGA Editions|Collection|Moyen Age européen|ISBN|978-2-37747-340-3|EAN|9782377473403|Format|Grand Format|Présentation|Broché;978-2-37747-340-3;Grand Format;Broché;;;;Moyen Age européen
;NAN;9782072863813.0;Feel Free- Grand Format;Zadie Smith;;;Gallimard;NAN;46.3144754;11.0480288;NAN;;;2023-11-02;November;2023.0;https://www.decitre.fr/livres/feel-free-9782072863813.html;['Livres', 'Littérature', 'Romans'];20,00 €;pas de prix ebook;https://products-images.di-static.com/image/zadie-smith-feel-free/9782072863813-475x500-1.webp 1x,https://products-images.di-static.com/image/zadie-smith-feel-free/9782072863813-475x500-2.webp 2x;Date de parution|02/11/2023|Editeur|Gallimard|Collection|Du monde entier|ISBN|978-2-07-286381-3|EAN|9782072863813|Format|Grand Format|Présentation|Broché|Poids|0.001 Kg;978-2-07-286381-3;Grand Format;Broché;;0.001 Kg;;Du monde entier
